YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,DLE,Dole-Jura Airport,France,47.042686,5.435063,2708,0.00532757294427099
2017,DNR,Dinard-Pleurtuit-Saint-Malo Airport,France,48.58769989,-2.079960108,3439,0.006765702863865559
2017,DOL,Deauville - Saint-Gatien Airport,France,49.36529922,0.154305995,4000,0.007869383964949763
2017,DRS,Dresden Airport,Germany,51.13280106,13.76720047,21533,0.04236286122931582
2017,DUB,Dublin Airport,Ireland,53.421299,-6.27007,222326,0.4373921648478553
2017,DUS,Dusseldorf Airport,Germany,51.289501,6.76678,221067,0.43491527624488735
2017,EAS,San Sebastian Airport,Spain,43.35649872,-1.790609956,5708,0.011229610917983314
2017,EBU,Saint-Etienne-Boutheon Airport,France,45.54059982,4.296390057,2438,0.004796389526636881
2017,EDI,Edinburgh Airport,United Kingdom,55.95000076,-3.372499943,127268,0.2503801896128066
2017,EFL,Cephalonia International Airport,Greece,38.12009811,20.50049973,5718,0.011249284377895687
2017,EGC,Bergerac Dordogne Perigord Airport,France,44.82529831,0.518611014,4558,0.008967163028060256
2017,EMA,East Midlands Airport,United Kingdom,52.83110046,-1.328060031,67492,0.13278011564059736
2017,ERF,Erfurt-Weimar Airport,Germany,50.97980118,10.95810032,5849,0.011507006702747792
2017,ESB,Esenboga International Airport,Türkiye,40.12810135,32.99509811,112620,0.2215625055331606
2017,ETZ,Metz-Nancy-Lorraine Airport,France,48.98210144,6.251319885,6253,0.012301814483207718
2017,EVN,Zvartnots International Airport,Armenia,40.14730072,44.39590073,21210,0.041727408474146126
2017,FAB,Farnborough Airport,United Kingdom,51.2757988,-0.776332974,25789,0.05073588576802236
2017,FAO,Faro Airport,Portugal,37.01440048,-7.965909958,59212,0.11649049083315136
2017,FCO,Leonardo da Vinci-Fiumicino Airport,Italy,41.8002778,12.2388889,297395,0.5850788610640587
2017,FLW,Flores Airport,Portugal,39.45529938,-31.13139915,1574,0.003096602590207732
2017,FMO,Munster Osnabruck International Airport,Germany,52.13460159,7.684830189,18826,0.03703725563103606
2017,FNC,Madeira Airport,Portugal,32.697899,-16.7745,25414,0.049998131021308324
2017,FNI,Nimes-Ales-Camargue-Cevennes Airport (Garons Airport),France,43.75740051,4.416349888,4372,0.008601236673690092
2017,FRA,Frankfurt Airport,Germany,50.033333,8.570556,475535,0.9355418759430965
2017,FSC,Figari-Sud Corse Airport,France,41.50059891,9.097780228,10762,0.02117257755769734
2017,FUE,Fuerteventura Airport,Spain,28.45269966,-13.86380005,47089,0.09264035538137985
